stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,calculation$total_power_nosun,actual_occupation,acoustic_pressure_dB
15/02/2015 00:00:00,1423954800000,2015-02-15 00:00:00,18.24224622222222,18.618604044444442,22.230708744444446,17.25,440.62291666666664,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,36.98131472222222,18.306323244444442,0,0,2.93,91.0,71.0,0.0,0.0,4.980708744444446,249.03543722222227,0.1106824165432099,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 01:00:00,1423958400000,2015-02-15 01:00:00,18.045352833333332,18.269836533333333,22.657648561111113,17.17134754166667,446.79789166666666,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,36.99376861111111,18.269836533333333,0,0,2.39,93.0,95.0,0.0,1.4061711111111102,5.4863010194444435,274.3150509722222,0.12191780043209875,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 02:00:00,1423962000000,2015-02-15 02:00:00,17.981312111111112,18.08,23.34987604166667,17.1,449.8753805555556,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.0,13.81981462222222,0,0,1.57,92.0,94.0,0.0,3.770666666666667,6.249876041666667,312.4938020833333,0.13888613425925925,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 03:00:00,1423965600000,2015-02-15 03:00:00,17.92880711111111,18.038074666666667,23.36337676388889,17.1,454.5563138888889,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.0,16.69157168888889,0,0,1.82,97.0,78.0,0.0,2.5937688888888886,6.263376763888889,313.16883819444445,0.13918615030864198,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 04:00:00,1423969200000,2015-02-15 04:00:00,17.84610861111111,18.08,23.13159243333333,17.03922764444445,460.3738388888889,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.006233055555555,18.08,0,0,2.41,95.0,68.0,0.0,2.5937433333333324,6.092364788888883,304.61823944444416,0.13538588419753073,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 05:00:00,1423972800000,2015-02-15 05:00:00,17.77383494444445,18.1545444,23.028346319444445,17.067992133333334,465.2422916666667,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.12459,18.1545444,0,0,2.55,95.0,60.0,0.0,1.1875422222222234,5.960354186111111,298.01770930555557,0.1324523152469136,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 06:00:00,1423976400000,2015-02-15 06:00:00,17.842369611111106,18.0008104,24.088168791666668,16.94,462.60751666666664,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.0249175,18.0008104,0,0,2.83,93.0,60.0,0.0,2.5103044444444436,7.1481687916666665,357.40843958333335,0.15884819537037037,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 07:00:00,1423980000000,2015-02-15 07:00:00,17.79377133333334,17.995375777777777,24.385489336111107,17.095654844444443,459.6884416666667,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,36.987539444444444,17.995375777777777,0,0,2.41,91.0,58.0,0.0,2.677223333333334,7.289834491666664,364.49172458333317,0.16199632203703695,29.0,0.0,29.0,29.0,0.0,0.0
15/02/2015 08:00:00,1423983600000,2015-02-15 08:00:00,17.712759944444446,17.92,24.503652622222223,17.1,463.177975,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,36.987540833333334,17.92,0,0,2.54,95.0,68.0,10.474729066666667,5.052061111111112,7.403652622222221,370.18263111111105,0.16452561382716047,29.0,13.866473713189476,42.86647371318948,29.0,0.0,0.0
15/02/2015 09:00:00,1423987200000,2015-02-15 09:00:00,17.82249133333333,17.942677377777777,23.98459334444444,16.983119066666667,455.57330277777777,390.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,37.0,17.942677377777777,0,0,2.83,93.0,80.0,46.43645709999999,22.307637777777778,7.001474277777774,350.07371388888873,0.15558831728395056,29.0,91.62636406489477,120.62636406489477,29.0,0.0,0.0
